read,length,D1,D2,bin_id
bc66c682-1760-4e33-a6dd-826a41a60f80,1462,461.122,67.554.107,1
1f726d1f-93f6-4440-9c84-109505e2a8ba,1416,46.920.867,6.871.703,1
7d7d6f72-2e60-47b1-8846-ca6fca8dd5bb,1497,10.251.654,5.618.567,0
6153e96b-6d40-4d38-b2eb-2c5d430912c0,1475,39.582.186,8.366.554,1
cc596658-2e3b-479f-ba33-9172992ec82a,1442,0.8414784,5.271.031,0
871dd5b6-0c17-4031-9f1f-6eb8f6d7fbfa,1463,39.836.364,6.704.141,1
eb82b35c-fe24-4c0c-916c-d800e168b2c1,1464,38.648.798,9.249.463,1
1d005d97-cc98-4fbc-8536-6205e4d55a8d,1418,4.602.327,67.183.414,1
5e888b55-799e-4aa1-87f6-2a6898d197e0,1485,41.606.054,6.442.589,1
66736410-50cb-41c5-af0c-53d37b789b6b,1471,3.399.837,7.690.264,1
d12395af-3c6d-49a9-ad95-eba2972e4c23,1445,35.585.508,7.582.805,1
c5860b1b-c9f0-4220-97df-c3c86d185b83,1460,0.117476135,80.188.265,0
b7aa71bf-a5f5-4dfe-af17-2c0c82541c83,1477,3.976.887,6.761.875,1
e0106eea-052f-4d6a-b513-074972a7af2b,1477,0.72961056,72.775.707,0
fb306395-4e90-46a1-95c6-4fea56cf44e2,1471,0.6371489,7.610.767,0
5ab6ed94-4187-480d-8cbc-ed0fc8067624,1523,0.657477,68.217.754,0
fa27790c-d368-4330-8407-0b4b642a7e8c,1444,-13.767.967,7.220.318,0
88a534b2-1d84-4e14-91ea-826a6ed713c1,1469,-0.1836648,74.282.813,0
c5aac2fd-2cf3-4b9f-8f9d-8998b18a1c12,1473,0.59711725,67.852.883,0
3252848a-adf5-4c11-ad2c-3543ed8526c9,1470,4.060.074,63.666.377,1
c86267d0-66f4-44cd-9133-c7c7b616dfe3,1451,0.7150039,75.736.756,0
106d824e-42b1-465e-9751-75eae63cbb68,1462,0.61175215,46.252.337,0
9673a355-fc6b-42e7-a6b1-13f631a1b95f,1462,37.018.042,8.795.809,1
7e3d8a25-bb92-4d48-81dd-54e53d76e0bf,1448,4.213.948,668.011,1
60fc2e9d-d80b-4397-948d-bee776e2afe8,1592,6.270.756,8.564.249,1
f9b11233-95b2-484b-8d42-d2e92839c010,1403,3.760.216,60.310.655,1
61d74b34-3fae-4b5d-a189-9f384a33f57d,1453,12.520.417,5.131.419,0
328e6857-e8e0-46fb-83fc-fa7505865de5,1453,4.240.929,6.640.401,1
6b4d0a4a-e1bb-4689-afe8-f17f4a34b2c0,1470,-0.7219141,6.838.287,0
42c1a987-8631-4228-8d8c-bcdb166570bb,1460,0.8279701,48.331.666,0
364fdb9e-7cfe-4b95-bd69-96349315d261,1482,36.830.652,8.576.903,1
411115a9-e7d7-4827-abaf-29f7ded26a2b,1463,45.242.915,8.472.104,1
