read,length,D1,D2,bin_id
105f5080-34c4-4c41-9fc3-0885aa907a4e,1511,5.2027335,1.7755959,0
cb8aa29c-ec30-4864-863d-2c1cd0cf0f26,1462,6.660181,0.007418371,1
a37b88ed-db85-4100-b446-feadf56a27a0,1471,6.6933374,0.42570385,1
da50e975-6e3e-47c1-a873-c24371e85845,1467,5.4124746,1.4003611,0
8911958b-d996-401b-9cc1-9c0a9625abe4,1480,6.7616634,-0.17665106,1
c98bc043-f66f-423d-93dd-84cd8e7868e9,1473,5.6015577,1.6877438,0
86650e15-4fec-4034-812e-1b3b779a769f,1409,5.1545386,2.4153006,0
8e1b4a90-8467-4632-bc31-038830702611,1411,5.3950734,2.0775583,0
eefa265b-51b9-4bec-82b4-0f7079e29927,1449,5.1066656,1.4766008,0
9e831ca3-96b6-496f-b7db-d074f3d11db1,1463,4.280889,1.5413479,0
f60a2fbf-cc4b-4cb7-8444-37a4e99f7a35,1443,5.1505456,1.2801648,0
aa39a333-0f0a-443a-a5e7-a9fad575aeb8,1455,5.3992867,1.3851942,0
3cc685da-075c-4090-b1fc-ea6e61f23566,1468,4.6634507,1.28695,0
baf5b985-b69f-4c6c-90c2-68ca9f1ffc1c,1483,6.641116,0.42442322,1
69ca406f-0630-40ac-b738-a6a387ca3409,1488,7.1482277,1.6732472,1
88827b4c-785c-4c42-b6e8-cd041daad34e,1472,8.950962,0.8201179,1
02e61d26-5061-49da-a5f4-1f286caa8151,1475,6.6662273,-0.06566649,1
75f660fb-5c9f-4a3b-b3f7-5ad58e8ef250,1467,4.1789083,3.3276052,0
4f081dc4-1db9-4cf7-8ae6-30b5d6d4ce61,1484,7.185696,1.0938989,1
4ef892a3-95f2-408e-a7fa-dc5db9d541c3,1435,3.2668157,1.3418207,0
f0f6e3c2-e3a9-4694-a66d-58d7d53f38f1,1466,7.380836,1.7956866,1
64ef42e5-fa80-42d7-8ed6-8c7aad4dfd29,1444,3.319274,1.8184272,0
3a612281-c6ed-427a-b084-a5b268a49574,1464,6.419883,0.48458952,1
49abf58f-94f5-4820-87a7-96b4b453fc05,1403,5.1735344,2.2882285,0
56962f10-f4c2-464a-8100-5da4a3210feb,1512,3.2083228,2.2612793,0
6fed53fb-2167-4a36-ac33-c518c72c2a3b,1496,9.542307,0.5699495,1
ebd63c54-284e-4caf-814d-99a631587302,1513,8.591251,0.92786074,1
e73396d7-793e-470c-9fbe-90c52a33565c,1476,3.7895548,1.0564193,0
a9010ed2-5ff4-400d-a028-e210663b13b6,1493,8.894556,1.55433,1
448bfed5-a695-4f20-80db-dfc06d207e10,1424,7.798444,2.1436458,1
1050c8a4-55a6-4eab-a27f-d8fb0da8c485,1453,9.36172,1.5498775,1
ef5ac6b8-8de6-4613-a201-45851afc9622,1511,8.581702,1.423051,1
244e8619-b16a-4542-97c8-97409f618964,1503,6.7782016,0.28603128,1
3cc09db3-1a7e-4be6-b338-7775add89258,1400,8.283838,1.7126136,1
94bb9935-25d3-4af7-bbd2-21d41292800c,1520,8.069179,1.701124,1
a6cdd917-6e42-4796-8d20-8d1d58be9eb5,1483,4.178471,3.4923153,0
4e2c6c8c-1aa5-4f6e-8265-f61a1eb5ae90,1464,3.9946609,3.7701564,0
ae13383c-741a-4ac8-ab9d-200174e362e3,1476,6.9556513,1.4759164,1
96aae752-9c79-4320-bf42-143ee7811bc6,1470,4.9561806,2.3872867,0
b11a8574-c7bb-44c9-b38a-9cbf2339c050,1476,5.098893,2.246708,0
4a6d9001-3255-4f7f-844c-ef3300e38c4c,1492,8.774734,0.85823953,1
56c0a606-e7f4-4dd8-a1ca-ba07cf598331,1530,6.5611377,1.598595,1
38a0302d-b07d-4c40-9a3d-d4602a1bde65,1496,7.231113,0.25269204,1
b895639b-3efd-4686-9420-cc9fed02a541,1470,2.8407636,1.8660171,0
8acc4676-ecac-4bbc-8f6f-d83b880ae051,1484,7.3165174,1.4307284,1
2c106dc8-1fb5-42d7-b6bf-40dd98b55816,1502,3.1806145,2.6367803,0
6576d500-8338-42ca-a002-00ce66be1bde,1479,3.3947155,1.1072246,0
c6d9ba7f-5b66-404b-9e61-5886be5125fb,1464,3.979004,0.984717,0
52b84036-7066-497c-bf8a-d9c15c77f857,1471,6.4994,0.08003072,1
51b8c1ca-511e-4e19-b828-729c58fb90fd,1504,9.518312,0.08989297,1
c1fb077c-9ab6-4cec-86df-23411861ddd0,1496,7.9392157,-0.68309474,1
1b0ef7a8-9631-4bc3-a5d1-9dc8087f960c,1500,9.175492,-0.3252238,1
d374a0af-8574-4c2d-849f-7fc11c022f74,1527,2.60519,2.7316418,0
63c3acca-a9eb-4174-95c7-ae6064b9f887,1491,3.2269628,2.0049636,0
c80c25ac-a02b-4bb9-a612-c436cebcca43,1509,9.510258,0.10887396,1
ca9ac8f1-78f2-4bc6-89f1-05efdeaa0b1f,1466,9.418982,1.2928699,1
863cec0c-54a9-45fb-90f2-87f7261a8918,1490,4.5524726,3.3563323,0
9a8e01bb-c9a9-4052-b1b7-cc9a65996a2b,1512,9.205362,1.2601217,1
66fb91ac-3200-43e3-b45e-2fa6a50bc2cf,1468,4.9942327,2.6435096,0
017bdfb9-1445-4f1a-a54c-0ea867b9d7ff,1469,4.593069,1.3931094,0
6e304ed6-44ab-4ae9-b669-c09a0a66b559,1480,7.1394258,-0.4022106,1
8b2e077f-47b6-4ec3-b457-aee4a1ea01b3,1474,8.445748,-0.64530224,1
c993d16b-1473-4a4d-bfad-f579576ac66d,1472,2.7768214,1.980515,0
5d489f8c-f62d-41b0-9440-e5f09fcd22ae,1489,8.534942,1.2368078,1
084efd35-7335-47da-b3a6-7a8924e45e56,1462,3.2802413,3.8145506,0
9077b382-c7b3-4a48-8392-a0dc549363aa,1462,4.7891407,1.2139839,0
7237c75a-9872-4f96-bc2e-75d26e05fa6b,1535,9.2515335,1.5408802,1
2a678120-5ce2-4e4e-a3ff-53943bf0d703,1455,3.4404445,1.4356747,0
c9f58daa-2406-4577-bcca-dd83fe045473,1477,9.065394,-0.16713443,1
9813e72a-23c3-457f-8361-b36e0c623e6a,1424,2.726477,1.6851205,0
d32d6cea-05c3-4c65-97b4-bfaa72f40c0d,1482,8.878461,-0.5572894,1
b91006f2-29be-49a7-8ac8-804bd5f458f7,1496,9.068996,-0.43206817,1
e08fb177-c1d7-4e83-a7cf-cfba04e7e4b1,1439,7.8389187,-0.69369507,1
d557e924-1cc7-4db8-bca4-279f5b0e2ae4,1497,6.9989886,0.20365721,1
38dc9e58-6ead-4aa5-9a07-ac45feee474d,1471,3.3565254,2.334005,0
cb21fa9f-a8e6-4b2e-99bb-f143708e2621,1475,9.113822,1.6665639,1
41cc88c4-e996-4e64-8ac5-d41c89a52f2c,1516,6.6920896,-0.20131691,1
6e4fac2a-0115-4463-a4ac-48fb7b59047b,1523,7.7214704,-0.6393109,1
c7b66ac9-2f7c-44b2-893a-4e6008288f9c,1415,5.5699363,2.142417,0
ad2f29ba-c86d-4c40-94b0-5567f701d86e,1421,8.400927,-0.14423515,1
5c1d6423-db82-41af-bfeb-336610f92335,1519,8.12274,-0.76177484,1
06722c90-1e96-4b69-a9a2-2ae1b4a73b27,1460,4.863931,3.2217934,0
eb5909bf-93de-45c4-b69b-97a4c0218b23,1483,3.5514903,0.96149474,0
5de20c1f-90c6-44cc-bed6-8f16c4fc63f5,1525,8.642763,2.0706902,1
dad3f227-16ff-4652-afb2-bff3f67f12ca,1462,7.6538553,-0.60685927,1
31376b4b-ab16-44f6-93dd-92477a9f4649,1446,2.997724,3.0794725,0
634ef52e-6efa-4ecc-9fdd-c8f639123891,1507,6.792063,-0.30641544,1
492d9481-e143-4380-995f-9f4d8a303d76,1619,3.5034132,3.8631568,0
7763a64d-8890-4c38-9b2d-21292dc35777,1493,9.023155,0.95439667,1
5347042b-8992-490f-87dd-4d37790f7897,1535,9.375984,1.4825344,1
18c0cf52-b07f-44c7-ba54-8aded9b7278a,1515,7.936406,-0.6695432,1
26095210-2936-4802-a2d4-14cefbfbc8e6,1533,7.3747683,1.6045069,1
b91f1af2-8740-43f8-93d2-f57efd92509d,1424,8.037558,1.4226623,1
403b3df6-b406-4c9e-a03c-906d15d6df3a,1534,8.20408,-0.48623943,1
ed058efa-65d7-4f7b-9b9c-a92df69e72fb,1536,9.53069,0.9276474,1
f60fa56d-9f3a-43e5-87db-268fbf8acf95,1486,4.40001,3.4731698,0
c6842384-fe9c-4658-9a41-7ce0e408947a,1495,7.694612,1.4930046,1
c093df4f-b0f2-4384-a037-d2a999bc128b,1451,3.0731368,2.5560055,0
789a8496-13bb-42d7-afe9-7104638e5df8,1535,7.792175,1.5597938,1
cc8339db-911d-45bf-8f95-078f4c99f193,1472,9.158067,0.7664271,1
e7e89f32-63fa-4cc5-998c-696ea22fb708,1493,8.351146,-0.6450607,1
a6a84452-795c-4261-ad8e-2506c98e19ac,1632,8.108433,-0.7834042,1
166eb755-5471-4ed4-a9fe-c029e19f622b,1493,8.438873,1.4114845,1
540c9824-2456-42ec-85ba-1fd21683c092,1453,5.355552,2.0302765,0
26ca405f-146d-4522-b50e-d0de98a11605,1506,9.703468,1.0381129,1
fe6aedfe-5075-441d-847a-fa16f4afc4d6,1548,9.552307,0.42688718,1
55bc0550-30be-478c-8e5f-5f5ed809b58d,1493,6.882198,-0.31570107,1
e08c508d-220d-4d17-a8cb-84f3a85b7e14,1483,8.885685,1.5116249,1
f0486b99-828f-49c3-89a9-0ebeb07d46e4,1495,7.2518206,1.635114,1
6d805291-37d6-489c-bf83-e7185f0fae4d,1497,8.689641,1.6414038,1
2dbee544-01c8-4ed7-aa2a-e8826facf40c,1455,3.577527,1.8019723,0
a99e1075-5ede-4f32-9f36-a1d78c9453a6,1460,9.829392,1.1376745,1
2723c6b7-4946-4fc7-88fb-c90c65fe9867,1492,4.170152,3.6878014,0
9129e971-5c0d-40c8-83eb-e61b1385e5af,1465,2.617687,2.3359578,0
1eee72d0-1c83-494c-b4e3-9fc0df1964ed,1503,8.406978,0.43848366,1
913e4781-f1c2-4201-9f7c-6fbcff190f7f,1489,8.357115,1.7199183,1
df29a5b7-1abd-4e94-aafe-231b3ff55bfa,1435,3.9353552,2.2750275,0
bfe3d3f5-de64-424d-9b89-8390797aa77a,1477,2.8294609,1.4415107,0
c9a51ec7-f03b-4dae-873f-f589a87f3ffa,1459,7.6365995,1.2258725,1
aeae434e-800f-49b8-9e48-ab91f4778b64,1613,7.5127535,1.5068287,1
785b0e27-979e-44bc-9cc0-fdfbf87d1806,1569,9.414865,0.87409514,1
44a849d7-db3e-4c69-8e4b-53ed0dd5b709,1469,3.3194067,3.468434,0
f6b8d317-a981-487b-80a6-2295b65b4ab6,1514,9.054017,1.5002519,1
52d11751-e9fd-4faa-9779-11dd0c8f7b45,1517,8.559368,-0.7282662,1
3a77a6bd-c8ae-42ba-8005-0fe3a250d65b,1495,7.0670037,0.013372915,1
fbec458b-fe45-4a66-bacc-1dc38e05927b,1522,5.068695,2.4978955,0
4c0c574d-db3f-40b4-bcf5-398adae1ba03,1468,4.15286,3.8065512,0
f46fe659-7d6b-4bee-a996-3960401bbf8c,1499,6.9990926,0.4366123,1
78c7bb92-d3d6-407e-8125-8a572f153a8a,1462,3.315065,2.193999,0
6e633f2d-2682-44a6-bdc4-a7af91afbeb5,1500,3.234679,2.3497496,0
75d9d7bd-1d12-4798-b65e-e33ac26ff3f7,1444,2.6817498,2.7396243,0
c5a01111-4d71-4b12-84ce-1131d15ba046,1483,8.841381,-0.1842573,1
a86ae582-608d-4097-ba2c-d85d3ea90b01,1457,9.095606,0.5882275,1
345dbe4d-9152-40be-ba06-1dc4683e71c7,1503,8.386006,-0.647422,1
a5a48983-99da-42c9-ba29-61c7446fb61a,1408,3.8547618,3.1023014,0
e55317af-7c31-42e2-b1ba-738e047b858a,1473,3.0309522,1.3339232,0
e8610a60-33b7-485c-acb0-91a9d2da24cd,1520,8.048516,-0.78398776,1
5102f331-1a7d-4fe5-a26b-c2f39d87d6e4,1508,9.006072,0.55187386,1
75148e28-7e6c-4c2d-aa0a-fd8d40c89523,1493,8.699248,1.9240866,1
1efbf9d8-6bf8-4073-8831-1fe612fe6c31,1482,6.1555004,1.0787585,1
be5437d1-fc45-4cf8-b7f3-f84957f4e7ea,1490,3.8556945,3.7431912,0
2a8e5dea-d535-4a93-a843-ed943159697e,1463,3.02899,1.3040638,0
f72b476e-9830-42e0-9b56-65b9994d2290,1484,5.1548743,2.543958,0
fcbda76d-4643-4639-b5c7-c80c9235ade2,1444,5.3349786,2.6685944,0
3125e8e0-b0b9-4db8-991f-e3e7f44ee7e9,1466,7.239904,-0.40246376,1
47728909-e45b-44a8-9c6a-fa38c52e24d8,1506,8.920042,1.1982411,1
e4755d91-bcfb-42bb-bd97-9f48ef051455,1483,7.746432,1.9234427,1
f1a21e4e-fb66-4313-b8de-67689f3665a8,1511,8.113913,1.1068536,1
32ac8046-b43b-4237-b749-26031f99196e,1466,3.4534056,3.0294456,0
9165adf9-63a7-4b37-94fa-4c9d936ac908,1487,6.6338043,0.9353015,1
7e6ed981-01a5-4445-8dbc-1b2c75fe6096,1509,9.153531,1.324683,1
9c5b4621-1f30-475e-a540-e76ea47f7d02,1476,2.7649148,1.4191422,0
4a653747-d7df-4ab6-8b75-d5ba98685ee0,1469,5.889505,1.2647748,0
b9097f6b-9fdd-41a3-988d-9125af56c0fe,1475,3.211916,1.2652555,0
4f654da3-1c9d-47bc-a72f-80037e0b7322,1490,7.923099,-0.57342416,1
35412496-19f2-4782-8594-3e51a3893611,1452,3.874865,3.3395965,0
7e1f5250-a593-4ba2-bb86-9387994f73f8,1503,6.6494393,0.50748825,1
0b8e500f-c04a-4931-b1f3-f42df1ba8e5f,1442,7.2328835,0.9892161,1
a710e86b-4b61-4496-9898-686fc47c4449,1506,8.729753,-0.32448375,1
ac09c2ce-6193-484e-83bf-53b84845fee4,1495,8.935058,1.7136779,1
750adb64-c2ad-4c81-8908-3526842fed99,1435,4.3238955,1.6760207,0
2fdc4265-b1e2-4c0f-88d2-b0e60cdb8920,1472,2.7974303,1.6826082,0
ff845f80-eaff-482c-b11d-c637197f1bdd,1499,7.512289,-0.6307836,1
fe8120a0-d549-44fa-9d32-4de2d58b41e3,1521,9.098087,-0.14836152,1
8a0e5b6d-dad3-4cff-8f0c-d0d45788b44c,1455,2.4739995,2.6951783,0
a6060f7a-24f4-4c26-a7be-a8a18388c2f5,1504,8.415007,-0.44506475,1
03b1d43a-a9ff-4f29-871b-cc9da55a1d2b,1462,4.613592,2.699767,0
7af97317-9654-47d9-8f38-be714c36e4b8,1458,2.860637,2.2310226,0
cb425737-d8da-4912-97ac-86fdb3116b20,1480,9.181915,0.077343635,1
9a25f2bc-a296-4080-91b0-b5b7dc8755b3,1447,8.073423,1.7594918,1
fc03526b-e1bd-4b94-beb9-c989fd89a2bf,1496,8.939037,1.8163123,1
028f01f0-0b2a-4d1b-9883-7e04498af8c0,1465,2.6187763,2.2672286,0
f56e8bdc-4182-4647-b392-43f8c6c4f6f4,1513,8.304616,-0.71299726,1
7dfdbf96-c217-4171-89f1-d7b6c67b8d60,1518,3.8561478,3.4626303,0
2562f707-cdce-4ef1-9602-477cf4b50a18,1449,4.7475924,2.7796245,0
6d56021f-4ed7-411c-8ae9-30cd1238bc43,1528,9.043478,1.4228036,1
af0fe9ab-a3e4-4696-9235-a04f0024de0a,1516,3.2730026,3.5230947,0
eb8be720-3234-4778-9085-0f2e607e3bc9,1466,9.278085,1.3995565,1
5182df9f-ed4e-4170-9f43-3ba94f71b18c,1516,3.4168391,2.3129144,0
72295cff-e16a-4069-9f89-497ba7fe38fd,1486,8.147051,1.8087476,1
6bd29a84-54f1-4153-98f6-718e4b2e0412,1499,7.699144,0.049511097,1
dfb4fd16-8c66-4207-964e-e6330671a946,1475,8.743637,2.0775135,1
68f90230-a9f9-4b9c-8033-8721780e938c,1442,2.9962926,1.3435576,0
ab55895d-6f86-4633-a3ca-160e58415845,1505,9.450985,0.92374694,1
c12f034f-076d-45db-8b9f-d1c6ff4c6f57,1405,4.666697,3.3634226,0
e96d00e5-1b83-4282-965e-4c313dd0da8a,1452,2.8780832,2.9885662,0
90a1703b-5d88-4f1c-95eb-b12792f9aae4,1485,8.401581,2.124242,1
090fd5a9-c626-4004-9770-7628af0d5e8b,1459,3.9397988,3.5306005,0
20c055e1-254b-4df9-87c4-44237c0cedf5,1485,8.459567,0.4876244,1
c2dfe109-5563-41e8-b74c-d2cabab78809,1487,8.039432,-0.8079631,1
835d4bae-8794-45ed-aa69-b798346ab9c2,1506,8.836358,0.03672292,1
a1759348-f109-4a63-a497-8a09c59fdd17,1494,7.4039183,1.9792693,1
7851cf2b-e62f-4c51-b259-69f090d3f0ab,1522,2.7981365,1.6227064,0
4962ec14-1fa8-4128-92e7-2317ed4e23c4,1446,3.2055068,3.3218515,0
d81e8586-275c-4f64-bd5b-c51e255d3850,1493,9.4543915,1.2879146,1
3d9d7796-457d-4aff-89a0-a16fac9a76bf,1477,2.6376255,2.8582788,0
13a3c094-386c-4f2c-a405-eec9628eee55,1487,8.24003,0.78151095,1
f38afe2d-ba42-4dad-8b0f-fab1f01e8e28,1481,8.650512,-0.6468681,1
110477da-4db2-4a67-891a-35a22606f31d,1490,9.6161585,0.7437734,1
c0d5e522-43e7-4fa7-825d-8a787a8dfbc9,1506,8.777225,0.000588783,1
bcaa60ee-56d1-4950-bf3c-7972ddbb8ada,1488,8.364611,1.4937671,1
0705ba93-9220-4a24-9c91-de45ac6d74ce,1469,4.765524,1.4687955,0
ec7b92bb-01b0-4494-88cd-36fa81c06346,1493,8.272057,2.108928,1
395de95c-8d46-4865-923a-9f126a7ff0eb,1489,7.18848,-0.5308063,1
